Molecule ChEMBL ID,AlogP,Smiles
CHEMBL1558624,5.35,CCCC(=O)Oc1c(Sc2ccc(C)cc2)c(C)nn1-c1ccccc1
CHEMBL187266,4.25,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
CHEMBL1567571,3.87,CC(=O)C1=C(c2ccc(Br)cc2)C(=O)c2ccccc2C1=O
CHEMBL3195086,2.69,CCN(CC)c1ccc(/C=N/NC(=O)c2ccccn2)cc1
CHEMBL1403668,3.37,S=C(Nc1ccccc1)Nc1ccc2c[nH]nc2c1
CHEMBL457665,-1.07,N[C@@H](CSS(=O)(=O)O)C(=O)O
CHEMBL1425659,4.59,Cc1onc(-c2ccccc2)c1C(=O)NC(=S)Nc1sc2c(c1C#N)CCCC2
CHEMBL1404476,3.9,CCCOc1ccc(N2C(=O)CC(N3CC=C(c4ccccc4)CC3)C2=O)cc1
CHEMBL1455660,2.92,CCC(=O)Nc1ccc(SC#N)cc1C
CHEMBL1347385,5.05,O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(Sc2cccc3ccccc23)o1
CHEMBL1337210,4.59,O=C(CSCc1nc2ccccc2[nH]1)Nc1ccc2ccccc2c1
CHEMBL1579564,4.06,COc1ccc(C2CC(=O)N3CN(c4ccccc4F)CSC3=C2C#N)cc1OC
CHEMBL246446,3.85,O=C(O)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1
CHEMBL1586252,4.35,Cc1cc(C)c2c(c1)/C(=C/C(=O)c1ccc(Br)s1)C(=O)N2
CHEMBL1516339,3.07,CCN(c1ccccc1)S(=O)(=O)c1nnc(NC(=O)c2cccs2)s1
CHEMBL1469904,3.89,Oc1ccc(-c2csc(-c3ccccc3)n2)cc1O
CHEMBL1459530,3.94,CCOc1ccc(C(=O)Nc2ccc(N3CCCC3)cc2)cc1
CHEMBL1584752,3.31,CCOC(=O)C1=C(Cc2ccc(F)cc2)C(=O)c2ccccc2C1=O
CHEMBL1388967,2.32,O=C(NC(=S)Nc1ccccc1Cl)c1csnn1
CHEMBL1588976,4.5,COc1ccc(C(=O)/C=C/c2ccc(N3CCCCC3)c([N+](=O)[O-])c2)c(OC)c1
CHEMBL1313324,4.23,O=C(O)CCN1C(=O)/C(=C/c2ccc(-c3nc4ccccc4s3)o2)SC1=S
CHEMBL1374603,5.02,COc1ccc(NS(=O)(=O)c2ccc3c(c2)[C@H]2C=CC[C@H]2[C@@H](c2ccc(C(=O)O)cc2)N3)cc1
CHEMBL1545991,3.83,COc1cc2c(cc1OC)CN(c1ccc([N+](=O)[O-])cc1Cl)CC2
CHEMBL1325723,3.24,N#CSCC(=O)c1cccc2ccccc12
CHEMBL1496046,2.73,O=C(O)/C=C\C(=O)Nc1ccc(N2CCN(c3ccc(F)cc3)CC2)cc1
CHEMBL1332344,4.65,CCOC(=O)c1cnc2ccc(Cl)cc2c1Nc1ccc(N2CCOCC2)cc1
CHEMBL1466912,2.08,COc1cc(/C=C2/C(=O)NN(c3cccc(C)c3)C2=O)cc([N+](=O)[O-])c1O
CHEMBL3199815,4.06,Cc1ccccc1N/N=C/c1sc(=O)n(Cc2cccc(C(=O)O)c2)c1Cl
CHEMBL1160982,0.48,C[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1
CHEMBL2007403,4.15,C/C(=N\Nc1nc2ccccc2[nH]1)c1cc2ccccc2o1
CHEMBL1323821,2.7,Cc1ccc(Oc2c(C(N)=O)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
CHEMBL1345979,2.2,SC1=Nc2ccccc2C1
CHEMBL310798,1.23,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL1307416,4.46,CC(C)CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(NC(C)c3ccccc3)c2)CC1
CHEMBL3194486,2.41,Oc1c(/C=N/c2nc[nH]n2)ccc2ccccc12
CHEMBL1405721,3.91,CC(C)c1ccc(/C=C/C(=O)n2nnc3ccccc32)cc1
CHEMBL1375790,1.84,Nc1n[nH]c(O)c1N=Nc1ccc2c(c1)OCO2
CHEMBL1488628,0.77,CN1CCN(c2ccc(N)c(N3CCN(C)CC3)c2)CC1
CHEMBL1420063,3.22,CCCn1c(C)cc(-c2csc(N)n2)c1C.Cl
CHEMBL1995800,2.16,N#C/C(=N/Nc1ccc(OC(F)(F)F)cc1)C(N)=S
CHEMBL1573692,4.58,COc1ccc(-c2cc(C3CCN(c4ccc(C(C)=O)cc4[N+](=O)[O-])CC3)[nH]n2)cc1
CHEMBL1348406,3.37,Cc1ccc2[nH]c(/C(C#N)=C\c3ccc(N4CCOCC4)o3)nc2c1
CHEMBL1421172,2.26,CCCCN1C(=O)/C(=C/C=C/c2ccco2)C(=O)NC1=S
CHEMBL1331978,3.14,COc1c(C)cccc1C(=O)NC(=S)Nc1cccc2nsnc12
CHEMBL1588104,3.12,Cc1ccc(S(=O)(=O)c2ccccc2)cc1S
CHEMBL1448067,4.71,CCOc1ccc(N2C(=O)C3Sc4nc(O)sc4C(/C=C/c4ccccc4)C3C2=O)cc1
CHEMBL1974856,5.36,Cc1c(Cc2ccccc2)sc(/N=C/c2c(O)ccc3ccccc23)c1C(N)=O
CHEMBL527584,4.57,COc1cc(CNc2ccc(N3CCCC3)cc2)cc(Cl)c1OC
CHEMBL3210839,4.24,O=[N+]([O-])c1ccccc1N/N=C/c1cc2ccccc2nc1Cl
CHEMBL252417,4.55,Cc1nnc(S/C(=C/c2ccc(-c3cc(Cl)ccc3C)o2)C(=O)O)[nH]1
CHEMBL1536981,4.82,Br.Cc1ccc(Nc2nc(-c3c(C)nc4ccccn34)cs2)cc1
CHEMBL3191725,2.43,COc1ccc(C2C(C(C)=O)=C(C)N=c3s/c(=C\c4ccco4)c(=O)n32)c(OC)c1
CHEMBL1379580,4.86,Nc1nn2c(-c3ccccc3)cc(O)nc2c1N=Nc1ccc(Br)cc1
CHEMBL289277,1.89,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
CHEMBL1438498,4.06,COc1ccc(Nc2nc3ccc(OC)cc3s2)cc1
CHEMBL1536202,3.54,Cc1cc(C)c2nc(O)c(C(c3nnnn3CC3CCCO3)N3CCCC(C)C3)cc2c1
CHEMBL1604825,4.54,Cc1nnc(SCc2ccccc2)c2cc3sccc3n12
CHEMBL1320230,3.09,O=C(NN1C(=O)/C(=C/C=C/c2ccco2)SC1=S)c1ccccc1O
CHEMBL1597629,4.59,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc12
CHEMBL1328373,3.45,COc1ccc(C2=NN(c3nc4ccccc4s3)C(=O)C2)cc1
CHEMBL1438240,4.96,CCOc1c(Cl)cc(CNc2ccc(N3CCCC3)cc2)cc1OC
CHEMBL3191145,2.59,Sc1nnc(-c2[nH]nc3c2CCC3)n1/N=C/C=C/c1ccco1
CHEMBL1419209,3.81,COc1cc2c(cc1OC)C1(C)N(CC2)C(C(C)=O)=NN1c1ccc(Cl)cc1
CHEMBL164,1.69,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL1607270,3.13,Cc1ccc(C(=O)NC(=S)Nc2cccc3nsnc23)cc1
CHEMBL3193349,4.21,O=[N+]([O-])c1cccc(/N=C/C2=C(O)c3ccccc3CC2)c1
CHEMBL1348456,4.36,O=C(O)c1cc(N=Nc2c(O)ccc3ccccc23)cc(C(=O)O)c1
CHEMBL1496083,4.45,COc1ccc(N2CCN(c3nc(=S)n(-c4ccccc4)c(C)c3C(C)=O)CC2)cc1
CHEMBL1569494,1.32,COC(=O)C(=Cc1ccccc1[N+](=O)[O-])C(=O)OC
CHEMBL1348025,1.7,C=CCN1C(=O)NC(=O)/C(=C(/C)Nc2ccc(N(C)C)cc2)C1=O
CHEMBL1347922,1.31,Cn1cccc1/C=C1\SC(=S)N(CC(=O)O)C1=O
CHEMBL1308170,3.63,CC(C)N1C(=O)/C(=C\c2nc(O)c3ccccc3n2)c2ccccc21
CHEMBL1607263,4.09,CCc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1
CHEMBL1529647,4.01,Cc1csc(NC(=O)CSc2nsc(SCC(=O)Nc3nc(C)cs3)c2C#N)n1
CHEMBL1324051,3.5,CSc1nc(N(CCO)CCO)c2sc3nc(-c4ccco4)c4c(c3c2n1)CCC4
CHEMBL1528757,2.73,Nc1cc(N)c(OCC(F)(F)F)cc1OCC(F)(F)F
CHEMBL1582195,6.49,COc1cc(N=Nc2c(O)nc3ccccc3c2O)c(OC)cc1N=Nc1ccccc1
CHEMBL3194157,4.36,COCCC/N=C(\c1ccco1)n1c(=S)nc(-c2ccco2)n(CCCOC)c1=S
CHEMBL1599401,3.78,Cc1cc(C)c2nc(NNC(=O)c3cc(=O)c4ccccc4o3)sc2c1
CHEMBL1443180,3.46,O=S(=O)(c1cccs1)N1CN(Cc2ccco2)c2nc3ccccc3nc21
CHEMBL1580424,3.49,CCOC(=O)CC1=NN(c2ccccc2)C(=O)/C1=C\c1ccc(N(C)C)cc1
CHEMBL3192951,0.54,CC(=O)/C(=N/Nc1cc(C)ccc1O)C(N)=O
CHEMBL1308784,2.82,Cc1cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)c(C)n1C1CCCC1
CHEMBL1403281,2.43,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
CHEMBL3195958,3.68,CCN(CC)c1ccc(/C=N/Nc2ccccc2)c(O)c1
CHEMBL1386698,2.63,CN(C)c1ccc(C(c2nnnn2C(C)(C)C)N2CCN(C(=O)c3ccco3)CC2)cc1
CHEMBL1336788,2.63,CN1CCN(c2ccc(/C=C3\C(=O)NC(=S)N(c4cccc(Br)c4)C3=O)o2)CC1
CHEMBL1532631,4.83,CCOc1ccc(NC(=O)C(c2ccccn2)N(C(=O)CCl)c2ccc(OCC)cc2)cc1
CHEMBL3197173,4.15,O=[N+]([O-])c1cccc(/C=N\N=C2c3ccccc3-c3ccccc32)c1O
CHEMBL1323518,4.41,Cc1ccc(N=Nc2c(N)nn3c(O)cc(-c4ccccc4)nc23)cc1
CHEMBL1424878,3.34,CC(=O)c1sc2nc(-c3ccco3)ccc2c1N
CHEMBL3197586,2.71,CCC(=O)N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1
CHEMBL1385329,6.24,CCCCCCC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(OC)c3)n2)s1
CHEMBL1317159,4.28,CCc1ccc(NC(=O)C(C)n2nnc3sc(-c4ccccc4)cc3c2=O)cc1
CHEMBL1465527,1.81,O=S(=O)(C/C(=C/CO)S(=O)(=O)c1ccccc1)c1ccccc1
CHEMBL3145381,2.56,Cc1[nH]n(C(N)=S)c(=O)c1/N=N/c1ccc(S(=O)(=O)N2CCCCCC2)cc1
CHEMBL1441706,2.77,O=C1/C(=C/c2ccc(O)cc2)SC(=S)N1CC1CCCO1
CHEMBL1504850,4.11,COC/C=C/C1=CC2=CC(=O)C(C)(OC(=O)c3cnc4ccccc4n3)C(=O)C2=CN1Cc1ccccc1
CHEMBL1577165,5.04,COc1ccc(Nc2nc(-c3c[nH]c4ccccc34)cs2)cc1
CHEMBL1360792,3.51,Cc1ccc2nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3cc2c1
CHEMBL1487808,1.98,COC(=O)C1=C(C)N(CCc2ccc(OC)c(OC)c2)C(=O)/C1=C\N(C)C
CHEMBL1373289,3.31,O=C1OC(c2ccc(F)cc2)=C/C1=C\c1ccc([N+](=O)[O-])o1
CHEMBL1301315,2.81,CC(=O)Nc1ccc(C2=NN=C(Nc3cccc(S(=O)(=O)N(C)C)c3)SC2)cc1
CHEMBL3196278,2.38,N/N=C(/Cc1nc2ccccc2[nH]1)c1ccc([N+](=O)[O-])cc1
CHEMBL1497759,3.95,CCOC(=O)C1=CN(c2cccc(F)c2)C=C(C(=O)OCC)C1c1cc(OC)c(O)c([N+](=O)[O-])c1
CHEMBL1575767,3.73,O=C(O)C(Cc1ccccc1)N1C(=O)/C(=C/C=C/c2ccco2)SC1=S
CHEMBL1536497,3.28,COc1ccc2cc3c(N)c(C(=O)N4CCCC4)sc3nc2c1
CHEMBL3193729,4.55,CC1(C)CC(=O)C(=CNc2cc(/N=C/C3=C(O)CC(C)(C)CC3=O)ccc2O)C(=O)C1
CHEMBL1421400,2.27,O=[N+]([O-])c1ccc(-c2c[nH]c(S)n2)cc1
CHEMBL7463,3.64,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL1340397,5.03,Cc1cc(-c2ccccc2)nc(-c2ccccc2)c1C
CHEMBL1340363,5.15,Nc1c(C(=O)Nc2ccc(Br)cc2)sc2nc(-c3ccco3)ccc12
CHEMBL1379535,2.75,Nc1nn2c(O)cc(-c3ccccc3)nc2c1N=Nc1ccc(S(N)(=O)=O)cc1
CHEMBL1555813,0.15,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
CHEMBL1536580,2.77,O=C1C2CC=CCC2C(=O)N1c1ccc(N2CCN(c3ccccn3)CC2)c([N+](=O)[O-])c1
CHEMBL3213579,1.21,CN1C(=O)CS/C1=N\NC(=O)COc1cccc2cccnc12
CHEMBL1316581,0.83,COc1ccc(Cl)cc1NS(=O)(=O)c1c(C)[nH]c(=O)[nH]c1=O
CHEMBL1993662,2.9,Cn1c(/C=N/Nc2nc3ccccc3[nH]2)nc2ccccc21
CHEMBL1433124,2.97,Oc1ccc(N=Nc2nccs2)c(O)c1
CHEMBL3194133,5.35,C/C(CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)=N\NC(=O)c1cc2ccccc2cc1O
CHEMBL1334832,4.33,Br.Cc1nc(C)c(-c2csc(Nc3cccc(O)c3)n2)s1
CHEMBL1432627,4.11,O=C1NC(=O)N(c2ccccc2F)C(=O)/C1=C/c1ccc(Sc2nc3ccccc3[nH]2)o1
CHEMBL1464156,3.53,Cc1cccc(OCC(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)c1
CHEMBL1572107,4.26,O=C(/C=C/c1ccc(Cl)cc1)N1CCN(c2ccc(Cl)cc2[N+](=O)[O-])CC1
CHEMBL1353221,1.24,O=c1ccc2[n+]([O-])c3ccc([O-])cc3oc-2c1.[Na+]
CHEMBL1363608,1.37,Cc1ccc(/C=C/C(=O)Nn2cnnc2)cc1
CHEMBL1303189,4.03,S=C(Nc1ccc2c[nH]nc2c1)Nc1ccccc1Cl
CHEMBL116438,3.85,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
CHEMBL34241,5.4,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)/C=C/c4ccccc4)c2O)OC(C)(C)C=C3)c1O
CHEMBL1527636,2.81,Cc1ccc(N2C(=O)NC(=O)/C(=C/C=C/c3ccco3)C2=O)cc1
CHEMBL1334040,3.25,O=C1C(Cl)=C(N2CCN(c3ccccc3[N+](=O)[O-])CC2)C(=O)c2ccccc21
CHEMBL1383332,5.24,Cc1ccc(N/C=C/C(=O)c2sc(-c3ccccc3)nc2C)cc1
CHEMBL1491957,3.58,Cc1cc(/C=C2\SC(=S)NC2=O)c(C)n1-c1ccccc1
CHEMBL1517543,3.32,CCN(CC)c1ccc(NC2CC(=O)N(CCc3ccc(OC)cc3)C2=O)cc1
CHEMBL1380661,4.58,CC(C)COc1ccc(C(=O)Nc2sc3c(c2C(=O)O)CC(C)(C)OC3)cc1
CHEMBL1422766,4.75,O=C1C(=C(c2ccccc2)c2ccccc2)Nc2ccccc21
CHEMBL1303719,4.97,Nc1c(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)sc2nc3ccc(OC(F)(F)F)cc3cc12
CHEMBL1440314,4.2,Cc1ccc(Sc2ccc(/C=C3/C(=O)NN(c4ccccc4)C3=O)o2)cc1
CHEMBL1448943,4.56,CN1CCN(c2ccc(NC(=O)c3sc4ccccc4c3Cl)cc2)CC1
CHEMBL592184,2.29,CC(=O)NN1C(=O)/C(=C/c2ccc(Br)o2)SC1=S
CHEMBL1609193,6.08,Cc1cc(N2CCC(C)CC2)nc2ccc(NC(=O)/C=C/c3cccc(Cl)c3)cc12
CHEMBL1461196,3.82,Fc1cccc2sc(Nc3nnc(-c4ccco4)o3)nc12
CHEMBL1558210,4.83,O=C1c2ccccc2-c2onc3ccc(Oc4ccccc4)c1c23
CHEMBL1556805,5.0,CC[n+]1c(/C=C/C=C/c2ccc(N(C)C)cc2)sc2ccccc21.[O-][Cl+3]([O-])([O-])[O-]
CHEMBL1373686,3.62,COc1ccc(-c2nc(O)c3cc(N4CCCC4)ccc3n2)cc1OC
CHEMBL1972249,3.26,O=C1/C(=N\c2ccc(O)cc2)C=C(O)c2ccccc21
CHEMBL1972491,1.57,C=CCN1C(=O)/C(=c2\sc3nc(=O)c(Cc4ccc(OC)c(OC)c4)nn3c2=O)c2ccccc21
CHEMBL3207404,2.81,Cc1cccc2c3n[nH]c(N/N=C\c4ccco4)nc-3nc12
CHEMBL421,3.7,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
CHEMBL1303203,3.35,COc1ccc2nc(N3CCC(C)CC3)c(C#N)cc2c1
CHEMBL1256759,3.34,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1
CHEMBL1383141,3.7,CCC(C(=O)O)N1C(=O)/C(=C/C(C)=C/c2ccccc2)SC1=S
CHEMBL1512943,2.87,CCCCNC(=O)c1ccc2c(c1)NC(=O)C(CS(=O)(=O)Cc1cccc(C)c1)N2
CHEMBL502044,0.54,CC1(C(=O)O)NCCc2cc(O)c(O)cc21
CHEMBL1557752,2.48,COC(=O)CN1C(=O)S/C(=C/c2ccc(N3CCCCC3)o2)C1=O
CHEMBL1462924,3.86,COc1cc(/C=C(\C#N)c2nc3cc(C)ccc3[nH]2)c([N+](=O)[O-])cc1OC
CHEMBL1473459,3.41,CCOC(=O)N1CCc2c(sc3c2C(O)=NC(c2cc(OC)c(O)c(OC)c2)N3)C1
CHEMBL1361015,2.93,CCOC(=O)c1cc2c(ccn2C)n1CC(=O)Nc1ccc(F)cc1
CHEMBL1520133,6.38,CN(c1ccccc1)c1ccc(/C=C(\CCC(=O)O)c2nc3ccccc3s2)cc1[N+](=O)[O-]
CHEMBL1180,6.38,O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1
CHEMBL1571034,3.71,COc1cc(OC)c(-c2c3cc(O)c(=O)cc-3oc3cc(O)c(O)cc23)cc1OC
CHEMBL1370456,1.61,Oc1ccc2c(c1)OCC1(O)Cc3cc(O)c(O)cc3C21
CHEMBL3193676,1.63,CCc1nnc(S)n1/N=C/c1cc(OC)cc([N+](=O)[O-])c1O
CHEMBL1334570,2.93,COC(=O)c1sc2nc(-c3ccco3)ccc2c1N
CHEMBL193,2.18,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
CHEMBL1556391,2.91,COC(=O)c1ccc(-c2noc(CN(C)CCC3CCCCO3)n2)cc1
CHEMBL1579409,4.1,Br.CCOc1ccc(-c2csc(NNC3=NCCCCC3)n2)cc1
CHEMBL1872457,2.53,Oc1ccc(/C=N/Nc2cc(N3CCCC3)nc(N3CCCC3)n2)cc1O
CHEMBL1370884,4.17,O=S1(=O)C=C(Sc2nc3ccccc3s2)c2ccccc21
CHEMBL3194146,3.5,CCCCC(=O)N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1
CHEMBL1340713,3.9,COC(=O)c1ccc2c(c1)C(C)(C)C(/C=C/c1ccc(O)cc1)=[N+]2C.[I-]
CHEMBL1478490,5.28,CCN=c1ccc(Br)cc(C(=O)/C=C/c2ccc(Cl)cc2Cl)c1O
CHEMBL1376723,0.97,N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1
CHEMBL3196561,4.77,CN(C)c1ccc(/N=C/C=C2/N(C)c3ccccc3C2(C)C)cc1
CHEMBL1578693,2.48,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)OCc2ccco2)cc1
CHEMBL1541005,2.17,O=C1NC(=S)N(Cc2ccco2)C(=O)/C1=C\c1cccs1
CHEMBL3198373,4.7,N#Cc1c(/N=C/c2cccs2)sc2c1CCCCC2
CHEMBL1534359,2.32,CC(=O)NC1=NC(=O)/C(=C/c2cn(C(C)=O)nc2-c2ccccc2)S1
CHEMBL3198502,6.03,CN(C)c1ccc(/N=C/c2nc(-c3ccccc3)oc2OC(=O)c2cccc(Cl)c2)cc1
CHEMBL3199005,4.13,Oc1ccc2ccccc2c1/C=N/c1ccc(N2CCOCC2)cc1
CHEMBL3198658,6.13,Cc1cc(C)c([N+](=O)[O-])cc1-c1ccc(/C=N/c2c(-c3ccco3)nc3ccccn23)o1
CHEMBL3214253,3.74,CC(C)c1ccc(S(=O)(=O)/N=C2/C=CC(=O)c3ccccc32)cc1
CHEMBL1572208,4.92,COC(=O)c1c(C(=O)OC)c2cccc3cc(-c4ccccc4)c4ccc1c4n32
CHEMBL3198697,2.15,Cc1nnc(N/N=C/c2ccc(-c3ccccc3F)o2)n1N.Cl
CHEMBL1334968,4.37,COc1ccc2oc(=O)c(-c3csc(Nc4ccc(O)cc4)n3)cc2c1
CHEMBL1436006,4.41,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nc4ccc(F)cc4s3)n2)c1
CHEMBL1450690,5.09,O=[N+]([O-])c1ccc(O)c(-c2nc(-c3ccccc3)c(-c3cccs3)[nH]2)c1
CHEMBL1460342,-0.72,CC1(C)CC(=O)C(C2(O)C(=O)NC(=O)NC2=O)=C(O)C1
CHEMBL1558234,4.84,CCOC(=O)c1c(C)[nH]c(N=Nc2ccc(C)cc2C)c1C
CHEMBL182653,3.0,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1
CHEMBL1481284,3.75,COc1ccc(C(=O)/C=C/c2cn(CN3CCN(C)CC3)c3ccccc23)cc1
CHEMBL1442056,3.44,N/C(=C\C(=O)c1cc(Cl)ccc1O)C(Cl)(Cl)Cl
CHEMBL1984120,4.38,Oc1ccc(/C=N/n2c3ccccc3c3ccccc32)cc1
CHEMBL3189985,2.9,O=C(O)CC1SC(N/N=C/c2ccc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)=NC1=O
CHEMBL1452551,4.11,COC/C=C/C1=CC2=CC(=O)C(C)(OC(=O)c3cnc4ccccc4n3)C(=O)C2=CN1c1ccccc1
CHEMBL1534285,4.94,COc1ccc(N/C=C/C(=O)c2sc(-c3ccccc3)nc2C)cc1
CHEMBL1974348,2.13,CCNC1=C(Cl)C(=O)c2ccccc2C1=O
CHEMBL3199870,4.04,COc1ccc2c(c1)CCC(/C=N/c1ccc3c(c1)OCO3)=C2O
CHEMBL1436980,2.57,C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1
CHEMBL1437035,3.85,Cc1ccc2sc(-c3ccc(N)cc3)nc2c1
CHEMBL1375971,3.95,CC(C)(C)C(=O)[C@@H]1[C@@H]2C(=O)N(C3CCCCC3)C(=O)[C@@H]2[C@H]2c3ccccc3C=CN12
CHEMBL1304351,4.24,COc1cc(C2CC(=O)N3CN(c4ccccc4C)CSC3=C2C#N)cc(OC)c1OC
CHEMBL1315288,2.02,COc1cc(C(=O)O)c2c(c1C)OC(=O)c1c(C)cc(O)c(C(O)O)c1O2
CHEMBL1400950,3.06,O=C1c2ccccc2C(=O)c2c1cccc2N1CCCC1
CHEMBL1302238,3.19,COc1cc(/C=C2/SC(Nc3ccc(O)cc3)=NC2=O)ccc1O
CHEMBL1604790,3.42,O=[N+]([O-])c1ccc(N=Nc2ccc(O)cc2O)cc1
